OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,WindSpeed,SeaLevelPressure,HourlyPrecip
AUS,7,21,13,7,OO,SFO,10,29,0
MSY,7,28,18,7,DL,LGA,7,29,0
ATL,7,5,10,5,DL,ORF,7,29,0
MDW,7,20,7,6,WN,IAD,5,29,0
BWI,7,22,10,1,WN,BDL,0,29,0
IAH,7,31,19,3,UA,FLL,14,29,0
LAX,7,24,16,3,UA,SFO,13,29,0
CLT,7,15,7,1,US,ORD,6,29,0
ATL,7,14,11,7,WN,ORF,11,29,0
MIA,7,7,13,7,AA,ORD,20,30,0
SAN,7,16,8,2,OO,LAX,5,29,0
SEA,7,18,6,4,WN,DEN,0,29,0
RIC,7,18,6,4,EV,IAD,0,30,0
SEA,7,11,14,4,WN,MDW,6,30,0
PHL,7,28,20,7,US,SAN,6,29,0
CLT,7,18,12,4,WN,MCO,0,30,0
SJU,7,21,4,7,B6,MCO,3,30,0
PHX,7,13,17,6,WN,BUR,5,29,0
ATL,7,3,13,3,DL,MKE,9,30,0
OMA,7,18,9,4,WN,MDW,11,30,0
LAX,7,19,20,5,B6,JFK,7,29,0
ORD,7,1,9,1,AA,SAN,18,30,0
ORF,7,11,14,4,DL,ATL,5,29,0
PHX,7,16,20,2,US,OAK,16,29,0
FLL,7,20,12,6,DL,ATL,13,30,0
MSP,7,19,13,5,WN,STL,10,29,0
OKC,7,17,11,3,9E,DTW,6,30,0
OAK,7,8,20,1,WN,BUR,9,29,0
DAL,7,21,15,7,WN,OKC,6,29,0
MIA,7,1,20,1,AA,DTW,0,30,0
DAL,7,31,12,3,OO,IAH,8,30,0
SEA,7,11,19,4,UA,SFO,9,30,0
IAD,7,16,18,2,UA,DEN,8,30,0
ATL,7,24,16,3,WN,PHX,9,29,0
EWR,7,18,11,4,B6,BOS,9,30,0
ATL,7,6,19,6,DL,TPA,6,29,0
PDX,7,4,8,4,US,PHL,5,30,0
ATL,7,22,22,1,FL,RDU,10,29,0
LGA,7,3,19,3,AA,ORD,0,29,0
MCO,7,28,18,7,DL,LAX,11,29,0
ATL,7,20,16,6,FL,PHL,7,29,0
CLT,7,28,9,7,WN,HOU,5,29,0
BWI,7,22,15,1,WN,PVD,0,29,0
SNA,7,26,13,5,AS,PDX,7,30,0
SAT,7,25,11,4,YV,IAD,8,29,0
STL,7,8,10,1,WN,DAL,7,30,0
SLC,7,28,17,7,DL,BWI,13,29,0
DTW,7,30,10,2,DL,PBI,3,30,0
BOS,7,27,8,6,UA,SFO,8,30,0
STL,7,10,6,3,WN,DAL,9,29,0
PBI,7,17,19,3,B6,BOS,9,30,0
SLC,7,16,15,2,DL,SNA,7,29,0
RIC,7,22,6,1,AA,DFW,0,29,0
LAX,7,14,19,7,WN,MCI,6,29,0
OKC,7,19,11,5,WN,LAS,10,30,0
ORD,7,25,12,4,YV,BUF,7,30,0
MCO,7,4,10,4,UA,EWR,13,30,0
ORD,7,31,20,3,UA,PDX,0,29,0
MIA,7,1,14,1,AA,LGA,13,29,0
LGA,7,14,7,7,DL,MIA,7,30,0
IND,7,14,9,7,EV,IAD,7,30,0
RIC,7,17,14,3,DL,ATL,5,30,0
ATL,7,4,21,4,FL,TPA,3,29,0
PHX,7,22,18,1,WN,IND,5,29,0
EWR,7,17,15,3,UA,AUS,5,30,0
RDU,7,23,7,2,DL,ATL,9,29,0
ORD,7,27,10,6,AA,PDX,9,29,0
MIA,7,22,19,1,AA,DCA,8,30,0
ATL,7,15,13,1,DL,MSY,10,30,0
SFO,7,5,12,5,UA,BOS,18,29,0
PIT,7,23,19,2,EV,IAD,5,29,0
